Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
11/21/2024,37.977.757,"1.184.475.227,00",50.887.003,"1.691.023.518,95",5.766.000,"260.205.292,70",15.458.284,"596.752.689,90"
11/20/2024,49.133.043,"1.534.727.593,70",74.950.682,"2.610.921.842,05",7.827.000,"280.533.253,80",22.532.179,"424.643.423,90"
11/19/2024,23.285.986,"899.787.655,00",64.128.123,"2.362.354.719,10",5.646.400,"195.104.436,80",14.251.460,"411.576.856,80"
11/18/2024,38.344.949,"1.191.403.248,10",67.191.446,"2.266.247.343,40",6.418.000,"189.135.700,00",20.541.192,"585.183.361,20"
11/15/2024,39.680.268,"1.236.050.410,45",51.551.033,"1.794.023.033,56",29.504.500,"773.988.785,00",49.957.600,"1.553.859.035,00"
11/14/2024,20.153.670,"692.695.501,95",44.624.544,"1.468.711.972,95",20.770.800,"535.313.500,80",57.422.135,"1.022.424.924,70"
11/13/2024,32.104.452,"1.024.349.365,25",37.117.477,"1.171.898.117,57",16.721.400,"466.430.089,00",19.742.200,"477.908.262,80"
11/12/2024,25.783.831,"897.961.776,50",45.163.965,"1.494.802.794,71",1.945.600,"56.981.720,00",1.945.620,"56.982.214,00"
11/11/2024,24.413.808,"846.339.671,90",49.488.117,"1.603.596.345,65",1.416.400,"42.999.663,40",3.961.400,"253.118.963,40"
11/08/2024,21.467.934,"679.251.385,50",54.787.433,"1.703.845.187,40",3.402.900,"148.575.880,20",5.853.000,"262.326.880,20"
11/07/2024,36.416.136,"1.072.218.985,00",44.989.260,"1.481.671.927,75",10.066.300,"363.515.738,30",10.288.300,"362.411.228,30"
11/06/2024,31.400.588,"876.841.474,90",35.359.180,"1.192.973.845,79",3.111.300,"126.912.295,00",4.139.300,"188.362.357,00"
11/05/2024,23.119.386,"706.775.267,00",36.502.966,"1.263.098.799,65",4.154.100,"200.410.860,40",8.983.170,"477.716.950,28"
11/04/2024,31.319.788,"1.065.510.220,60",47.487.816,"1.679.864.636,40",8.924.900,"268.412.696,00",8.774.965,"257.114.425,00"
11/01/2024,40.852.805,"1.364.908.325,70",42.838.200,"1.663.815.182,50",9.305.057,"230.328.004,15",5.905.076,"226.207.543,80"
10/31/2024,35.064.238,"1.044.371.920,30",42.655.583,"1.541.941.451,70",67.731.500,"4.697.633.576,90",83.081.500,"5.825.858.576,90"
10/30/2024,32.128.455,"1.016.776.606,70",36.445.606,"1.255.292.656,73",18.797.300,"510.172.025,00",13.347.300,"399.226.125,00"
