Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
10/23/2024,46.078.472,"1.756.588.736,14",43.372.703,"1.354.094.768,52",7.104.000,"160.551.000,00",5.108.089,"86.165.115,63"
10/22/2024,48.462.174,"1.433.753.455,85",46.960.724,"1.532.992.973,02",7.780.000,"178.602.000,00",4.557.634,"104.943.801,20"
10/21/2024,22.225.856,"674.776.539,71",29.786.681,"809.625.482,29",14.348.000,"244.315.800,00",10.560.182,"179.237.492,98"
10/18/2024,37.232.965,"1.127.847.672,83",39.761.786,"1.129.106.577,89",20.876.200,"417.716.850,00",7.900.437,"107.252.749,63"
10/17/2024,40.918.446,"1.111.435.293,05",46.538.967,"1.355.952.085,13",22.604.000,"538.326.092,00",10.102.826,"243.315.233,47"
10/16/2024,37.411.510,"1.155.852.187,77",38.138.527,"1.245.214.816,49",8.818.000,"373.119.860,00",8.091.017,"336.241.864,29"
10/15/2024,38.040.295,"1.069.624.711,22",52.945.805,"1.551.297.708,18",1.405.400,"47.041.450,00",1.401.040,"95.224.968,00"
10/14/2024,36.976.673,"996.431.602,33",52.963.998,"1.629.467.910,12",24.967.000,"489.684.000,00",21.391.710,"382.350.627,08"
10/11/2024,30.434.100,"998.157.437,67",34.520.933,"1.059.971.756,69",6.692.000,"144.452.400,00",8.069.460,"221.591.823,85"
10/10/2024,56.639.545,"1.675.291.131,02",42.458.503,"1.547.327.337,00",15.222.900,"302.879.100,00",8.563.641,"210.581.587,16"
10/09/2024,51.842.345,"1.625.308.066,61",46.808.622,"1.462.021.095,64",10.158.000,"272.174.650,00",11.311.796,"317.882.386,75"
10/08/2024,37.756.395,"1.119.263.895,04",34.871.220,"1.014.023.456,19",2.542.792,"125.623.973,20",10.558.623,"129.833.963,11"
10/07/2024,24.860.790,"774.970.787,10",32.759.128,"1.030.941.896,63",16.430.700,"491.882.415,00",8.694.216,"226.061.952,85"
10/04/2024,46.406.385,"1.403.356.953,71",32.749.250,"951.157.600,99",2.783.000,"102.158.468,00",3.815.986,"122.670.081,30"
10/03/2024,71.736.174,"2.040.125.133,23",63.877.234,"1.887.050.094,66",17.927.075,"629.218.042,50",8.732.597,"368.412.888,02"
10/02/2024,43.777.862,"1.215.498.060,05",38.904.507,"1.182.035.100,36",31.006.100,"1.019.357.895,10",7.962.141,"287.666.115,36"
10/01/2024,52.346.353,"1.600.083.845,12",43.662.595,"1.337.882.312,40",5.996.000,"188.043.100,00",20.300.020,"415.224.889,83"
09/30/2024,28.915.144,"904.570.016,90",32.511.581,"820.981.429,43",2.539.500,"60.878.025,00",3.152.073,"77.738.607,39"
09/27/2024,44.277.517,"1.252.629.906,22",36.773.570,"1.037.403.319,06",17.326.600,"383.305.338,80",25.954.205,"482.704.820,84"
09/26/2024,74.570.658,"2.072.172.881,80",39.251.396,"1.144.101.318,53",18.624.900,"491.489.340,00",23.640.204,"650.103.579,55"
09/25/2024,64.941.407,"1.749.879.320,19",65.470.342,"1.956.863.669,07",12.310.600,"268.813.272,00",13.832.843,"413.442.108,05"
09/24/2024,33.684.556,"945.160.716,71",25.007.457,"762.833.749,90",68.884.700,"1.375.232.500,00",129.422.941,"2.336.399.678,10"
09/23/2024,27.075.325,"701.276.781,45",32.738.258,"899.392.932,74",26.747.497,"557.419.027,80",34.824.706,"809.838.102,17"
09/20/2024,56.238.633,"1.594.621.074,00",45.191.470,"1.366.391.429,52",2.301.000,"80.859.541,80",22.325.280,"602.188.611,25"
09/19/2024,42.477.143,"1.212.245.633,29",27.740.708,"905.863.146,69",6.268.200,"135.506.960,00",81.068.386,"1.229.970.992,78"
09/18/2024,36.139.647,"1.136.923.643,24",33.059.489,"1.056.695.264,26",3.556.000,"84.012.193,00",104.445.487,"1.551.732.428,80"
09/17/2024,32.967.738,"929.277.580,67",35.602.444,"1.009.865.743,44",13.196.405,"267.671.311,50",922.231,"20.302.253,69"
09/16/2024,21.079.865,"704.533.170,34",28.398.792,"866.333.580,16",61.104.308,"849.784.316,20",60.919.267,"928.690.519,93"
09/13/2024,17.555.810,"532.591.808,30",14.672.215,"477.088.942,56",990.000,"23.883.770,00",9.554.877,"238.813.149,20"
09/12/2024,23.722.571,"774.329.690,95",17.147.188,"580.226.351,62",2.899.100,"120.361.645,00",11.274.761,"244.717.568,88"
09/11/2024,26.034.055,"754.361.883,66",22.144.488,"619.729.318,74",4.920.066,"225.456.206,00",5.815.680,"96.529.454,39"
09/10/2024,39.869.712,"1.046.421.911,00",40.772.428,"1.053.661.226,45",9.607.000,"173.393.800,00",8.669.133,"139.702.954,49"
09/09/2024,26.458.367,"847.264.289,34",36.904.210,"1.105.205.984,06",2.864.500,"57.829.825,00",7.280.037,"196.317.059,05"
09/06/2024,39.456.395,"1.233.373.466,32",30.593.727,"870.655.698,47",886.446,"43.642.075,34",666.929,"32.827.849,11"
09/05/2024,28.181.882,"925.368.855,20",29.077.511,"899.962.700,43",1.617.003,"18.363.378,30",2.973.487,"43.756.850,54"
09/04/2024,27.727.646,"908.592.118,10",43.341.486,"1.263.058.709,00",6.301.997,"148.436.474,28",1.004.803,"32.884.557,65"
08/30/2024,42.599.017,"1.371.192.064,47",18.308.347,"539.588.527,74",30.426.943,"674.534.583,08",4.322.262,"79.539.360,75"
