Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
11/19/2024,344.325.704,"8.840.855.157,75",305.655.829,"7.728.813.873,48",62.770.750,"1.569.951.632,76",47.163.177,"1.295.334.956,60"
11/18/2024,432.581.842,"10.495.576.012,90",389.817.083,"9.316.820.856,27",80.146.084,"1.762.385.199,22",61.653.665,"1.478.849.991,00"
11/15/2024,547.693.871,"13.305.927.283,78",533.945.440,"13.104.419.629,76",34.071.834,"954.534.113,53",29.510.084,"813.639.517,00"
11/14/2024,468.010.290,"11.428.813.179,18",445.185.243,"10.963.490.648,43",90.264.356,"1.684.559.155,55",72.776.069,"1.405.497.668,42"
11/13/2024,471.082.706,"10.970.603.827,83",482.547.266,"11.526.681.534,94",48.343.135,"898.986.252,03",38.945.477,"944.930.955,55"
11/12/2024,407.956.356,"10.137.458.512,59",395.913.835,"9.880.047.028,08",80.933.515,"1.570.271.247,15",73.028.605,"1.527.625.433,75"
11/11/2024,587.778.585,"15.031.363.010,75",577.259.688,"14.786.712.527,28",63.006.796,"1.560.010.558,10",60.246.826,"1.382.664.943,10"
11/08/2024,413.339.051,"10.650.697.091,55",383.012.616,"9.819.251.680,75",45.704.948,"1.148.541.067,87",44.446.637,"1.054.412.505,30"
11/07/2024,363.227.244,"9.102.938.834,58",365.334.248,"9.122.365.124,02",17.341.724,"650.249.038,17",14.637.780,"621.873.083,09"
11/06/2024,373.000.763,"9.238.461.379,88",387.382.559,"9.806.570.044,87",53.386.429,"1.701.303.010,45",41.852.274,"1.434.383.173,95"
11/05/2024,264.467.411,"6.443.856.963,84",249.209.409,"6.045.944.271,95",43.737.655,"1.088.023.150,41",44.643.446,"1.609.266.335,68"
11/04/2024,456.653.042,"10.546.410.880,64",436.432.849,"9.999.106.639,80",106.040.068,"2.056.521.535,67",109.101.412,"2.122.621.995,55"
11/01/2024,401.444.628,"10.023.430.796,27",380.533.641,"9.440.475.988,31",24.612.099,"755.545.220,40",27.196.369,"820.692.103,60"
10/31/2024,332.613.222,"8.389.847.197,77",327.500.859,"8.252.921.555,99",68.736.359,"1.928.270.477,34",60.959.571,"1.195.765.535,30"
10/30/2024,364.319.040,"9.063.350.122,89",358.337.086,"8.902.675.542,66",39.562.181,"936.373.147,08",45.911.488,"1.046.264.624,30"
10/29/2024,376.092.338,"8.984.242.981,28",370.210.065,"9.037.072.894,91",238.577.531,"4.459.111.851,64",74.078.451,"1.458.531.223,58"
10/28/2024,312.407.706,"7.368.754.025,95",295.784.932,"7.017.273.934,48",78.067.882,"1.434.500.844,45",77.403.946,"1.415.800.000,94"
10/25/2024,395.156.760,"9.547.122.654,11",398.357.466,"9.805.792.536,01",39.343.134,"1.247.151.924,46",40.172.033,"1.140.789.257,30"
10/24/2024,448.603.333,"11.151.217.262,18",448.194.979,"11.392.538.212,99",72.366.733,"1.656.732.352,63",71.818.444,"1.639.658.785,20"
10/23/2024,409.177.479,"9.974.067.962,92",413.232.343,"10.449.076.466,02",44.723.540,"984.018.889,23",45.987.748,"995.832.870,30"
10/22/2024,580.293.700,"14.743.256.059,89",570.191.120,"14.435.794.894,64",54.828.837,"1.277.450.072,05",60.431.203,"1.420.905.230,85"
10/21/2024,472.545.995,"11.643.634.978,01",457.525.590,"11.239.077.818,83",25.773.997,"521.233.402,83",29.561.815,"586.311.709,85"
10/18/2024,486.329.620,"11.948.503.180,48",474.763.317,"11.737.334.570,21",53.037.601,"922.681.431,63",71.303.214,"1.285.467.983,30"
10/17/2024,503.331.604,"11.774.585.144,55",485.113.775,"11.170.730.585,41",27.706.728,"843.291.955,47",38.297.262,"1.093.368.143,35"
10/16/2024,376.876.452,"9.684.231.160,32",363.135.589,"9.291.347.927,99",35.983.503,"878.299.337,39",35.970.486,"888.291.483,10"
10/15/2024,551.601.053,"13.421.483.108,18",520.180.751,"12.508.658.376,28",33.235.552,"900.623.753,00",30.439.752,"708.396.570,75"
10/14/2024,554.519.432,"13.316.639.367,67",520.045.843,"12.080.227.215,25",99.428.718,"2.395.090.675,68",102.724.008,"2.490.539.048,60"
10/11/2024,371.904.022,"9.590.346.503,21",364.506.788,"9.598.151.156,47",32.492.965,"915.547.052,70",22.095.120,"461.521.052,35"
10/10/2024,500.365.480,"13.566.428.038,87",512.186.469,"14.092.843.019,82",30.245.854,"716.490.222,91",42.234.704,"913.349.098,85"
10/09/2024,469.513.929,"12.299.998.358,95",471.825.385,"12.448.078.518,27",18.254.610,"564.685.241,80",15.748.335,"487.914.202,60"
10/08/2024,509.649.135,"12.434.360.216,76",513.811.046,"12.477.866.617,90",24.383.269,"549.091.791,21",15.956.276,"490.589.622,05"
