Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
10/27/2023,"1.000.000,00","28.775.000,00"
10/26/2023,"2.029.935,00","77.718.479,00"
10/25/2023,"-460.000,00","-10.932.000,00"
10/24/2023,"-598.878,00","-10.097.919,40"
10/23/2023,"26.197.000,00","1.162.383.600,00"
10/20/2023,"5.891.499,00","585.015.281,15"
10/19/2023,"785.400,00","40.090.788,00"
10/18/2023,"-1.000.000,00","865.000,00"
10/17/2023,"-1.590.000,00","-65.688.000,00"
10/16/2023,"-240.998,00","11.308.104,00"
10/13/2023,"-246.500,00","4.738.950,00"
10/12/2023,"-1.350.000,00","-35.517.500,00"
10/11/2023,"-1.450.000,00","-31.145.700,00"
10/10/2023,"100.000,00","9.680.000,00"
10/09/2023,"-897.100,00","-37.037.225,50"
10/06/2023,"100.000,00","3.400.000,00"
10/05/2023,"-820.000,00","-17.195.400,00"
10/04/2023,"338.300,00","53.344.437,50"
10/03/2023,"100.000,00","9.500.000,00"
10/02/2023,"2.563.300,00","88.034.696,60"
09/29/2023,"643.400,00","16.780.030,00"
09/28/2023,"2.239.799,00","41.109.971,80"
09/27/2023,"5.874.054,00","181.784.553,00"
09/26/2023,"-4.948.000,00","-91.075.680,00"
09/25/2023,"0,00","0,00"
09/22/2023,"-4.521.900,00","-155.018.164,00"
09/21/2023,"2.466.097,00","125.054.804,80"
09/20/2023,"-1.416.550,00","-56.181.670,00"
09/19/2023,"-2.051.900,00","-33.482.560,00"
09/18/2023,"-4.640.200,00","-243.422.524,00"
09/15/2023,"621.000,00","-24.241.460,00"
09/14/2023,"-888.700,00","-19.906.110,00"
09/13/2023,"-854.700,00","-14.780.335,00"
09/12/2023,"-3.500.082,00","-216.382.886,10"
09/11/2023,"1.009.948,00","69.829.607,28"
09/08/2023,"23.360.000,00","498.660.500,00"
09/07/2023,"-1.144.700,00","-17.963.877,30"
09/06/2023,"21.356.700,00","450.082.307,00"
09/05/2023,"10.065.000,00","204.987.320,00"
08/31/2023,"-1.537.000,00","-21.552.235,60"
08/30/2023,"3.425.000,00","152.326.500,00"
08/29/2023,"496.000,00","31.290.800,00"
08/28/2023,"-658.000,00","35.153.428,00"
08/25/2023,"-993.900,00","-63.362.259,00"
08/24/2023,"0,00","-1.184.000,00"
08/23/2023,"1.762.000,00","51.123.600,00"
08/22/2023,"439.600,00","5.138.490,00"
08/21/2023,"-4.548.200,00","-192.127.610,00"
08/18/2023,"4.200.200,00","176.990.444,00"
