Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
10/22/2021,"2.000.000,00","75.000.000,00"
10/21/2021,"3.000.000,00","61.185.000,00"
10/20/2021,"3.119.000,00","60.424.798,00"
10/19/2021,"-20.054,00","-1.808.870,80"
10/18/2021,"1.273.600,00","13.905.696,80"
10/15/2021,"0,00","0,00"
10/14/2021,"272.316,00","18.048.730,00"
10/13/2021,"1.060.000,00","21.638.840,00"
10/12/2021,"5.400.000,00","270.000.000,00"
10/11/2021,"4.262.944,00","212.602.400,00"
10/08/2021,"0,00","0,00"
10/07/2021,"700.000,00","19.273.225,00"
10/06/2021,"-480.000,00","-74.416.000,00"
10/05/2021,"23.149.927,00","1.036.959.926,80"
10/04/2021,"-697.200,00","-10.548.880,00"
10/01/2021,"-600.000,00","-78.073.500,00"
09/30/2021,"1.000.000,00","30.001.600,00"
09/29/2021,"245.573,00","14.383.784,50"
09/28/2021,"-260.157,00","-8.738.826,00"
09/27/2021,"-978.135,00","9.156.465,00"
09/24/2021,"3.931.963,00","93.508.188,40"
09/23/2021,"0,00","0,00"
09/22/2021,"500.000,00","47.000.000,00"
09/21/2021,"-3.000.000,00","-95.574.000,00"
09/20/2021,"4.373.000,00","182.656.394,00"
09/17/2021,"-20.001,00","-872.043,60"
09/16/2021,"-500.000,00","-22.575.000,00"
09/15/2021,"-270.090,00","-12.362.315,00"
09/14/2021,"-5.191.400,00","-327.958.450,00"
09/13/2021,"-465.000,00","-23.572.000,00"
09/10/2021,"1.886.500,00","99.274.170,00"
09/09/2021,"451.345,00","22.489.785,90"
09/08/2021,"1.946.000,00","-109.774.630,00"
09/07/2021,"-3.607.510,00","-281.136.871,00"
09/06/2021,"2.469.749,00","34.968.901,95"
09/01/2021,"-2.232.300,00","-290.354.975,00"
08/31/2021,"0,00","0,00"
08/30/2021,"0,00","0,00"
08/27/2021,"-1.900.000,00","-255.740.000,00"
08/26/2021,"1.956.818,00","55.923.919,90"
08/25/2021,"2.826.848,00","80.751.627,40"
08/24/2021,"-20.050,00","-976.194,40"
08/23/2021,"26.490,00","-4.144.655,58"
08/20/2021,"-6.155.140,00","-345.701.065,60"
08/19/2021,"-14.492.000,00","-818.744.490,00"
08/18/2021,"-120.000,00","-12.595.560,00"
08/17/2021,"0,00","0,00"
08/16/2021,"0,00","0,00"
08/13/2021,"-3.320.200,00","-329.144.380,00"
08/12/2021,"-20.010,00","-1.211.305,35"
08/11/2021,"1.721.045,00","192.607.599,50"
08/10/2021,"4.300.000,00","487.190.000,00"
08/09/2021,"5.580.000,00","445.664.000,00"
08/06/2021,"0,00","0,00"
08/05/2021,"3.200.000,00","456.252.400,00"
08/04/2021,"3.941.944,00","424.965.348,40"
08/03/2021,"1.352.392,00","114.387.135,10"
08/02/2021,"2.100.070,00","99.471.631,78"
07/30/2021,"-359.000,00","-8.191.828,00"
07/29/2021,"-3.200.000,00","111.406.500,00"
07/28/2021,"2.454.940,00","123.072.100,00"
07/27/2021,"8.252.000,00","415.674.200,00"
07/26/2021,"500.000,00","53.500.000,00"
07/23/2021,"-1.108.596,00","-125.108.556,00"
07/22/2021,"-2.901.540,00","-422.899.474,40"
07/21/2021,"-11.505.128,00","-1.255.743.992,00"
07/20/2021,"2.382.800,00","70.989.150,00"
07/19/2021,"-9.800.000,00","-218.810.400,00"
07/16/2021,"1.173.000,00","42.945.948,00"
07/15/2021,"309.890,00","6.375.922,00"
07/14/2021,"870.200,00","22.761.680,00"
07/13/2021,"-491.400,00","-5.994.770,00"
07/12/2021,"1.223.400,00","35.019.880,00"
07/09/2021,"-276.076,00","-12.865.999,60"
07/08/2021,"-1.400.000,00","-35.700.000,00"
07/07/2021,"-2.796.800,00","-60.836.930,00"
07/06/2021,"-250.000,00","-3.000.000,00"
07/05/2021,"-55.200,00","43.280.710,00"
07/02/2021,"16.545.212,00","1.898.642.430,90"
07/01/2021,"3.920.000,00","155.021.220,00"
06/30/2021,"16.329.335,00","1.688.248.024,00"
06/29/2021,"694.978,00","28.988.343,70"
06/28/2021,"1.599.023,00","137.903.092,20"
06/25/2021,"-1.803.190,00","-1.456.008,20"
06/24/2021,"3.839.727,00","157.639.709,30"
06/23/2021,"1.339.000,00","67.165.408,00"
06/22/2021,"-3.712.706,00","41.322.149,38"
06/21/2021,"914.600,00","70.752.000,00"
06/18/2021,"5.423.395,00","467.531.487,00"
06/17/2021,"-1.684.289,00","75.133.840,50"
06/16/2021,"-2.465.912,00","-153.022.421,60"
06/15/2021,"-2.482.400,00","-81.874.616,80"
06/14/2021,"-7.868.970,00","-149.725.612,00"
06/11/2021,"4.100.000,00","102.021.000,00"
06/10/2021,"-130.000,00","-12.212.000,00"
06/09/2021,"1.059.892,00","44.314.403,50"
06/08/2021,"2.099.962,00","53.314.628,88"
06/07/2021,"1.143.800,00","31.954.458,50"
06/04/2021,"-3.076.123,00","-364.148.015,10"
06/03/2021,"0,00","0,00"
06/02/2021,"1.546.100,00","118.976.959,00"
06/01/2021,"-670.009,00","-23.350.270,00"
05/31/2021,"-3.775.091,00","-93.546.635,50"
05/28/2021,"700.000,00","16.965.000,00"
05/27/2021,"433.000,00","41.457.900,00"
05/26/2021,"273.300,00","-6.313.800,00"
05/25/2021,"-3.120.033,00","-69.122.933,00"
05/24/2021,"-9.661.100,00","-219.691.090,00"
05/21/2021,"-569.295,00","-21.081.815,00"
05/20/2021,"-7.720.065,00","-277.577.222,00"
05/19/2021,"1.879.728,00","84.635.829,90"
05/18/2021,"0,00","0,00"
05/17/2021,"2.539.715,00","228.694.626,50"
05/14/2021,"-420.000,00","-20.886.000,00"
05/13/2021,"-2.040.416,00","-109.577.369,33"
05/12/2021,"-1.524.700,00","-46.295.780,00"
05/11/2021,"4.116.781,00","85.087.565,00"
05/10/2021,"3.515.000,00","46.613.000,00"
05/07/2021,"5.629.908,00","125.979.352,00"
05/06/2021,"-2.440.400,00","-107.071.635,00"
05/05/2021,"-1.790.049,00","-25.902.386,30"
05/04/2021,"-6.380.016,00","-171.540.044,61"
04/29/2021,"133.970,00","4.616.006,88"
04/28/2021,"279.970,00","5.765.935,00"
04/27/2021,"1.686.800,00","123.950.100,00"
04/26/2021,"17.329.886,00","365.290.617,10"
04/23/2021,"-1.574.000,00","-30.271.075,00"
04/22/2021,"-943.163,00","513.886.133,75"
04/20/2021,"945.002,00","44.871.829,00"
04/19/2021,"279.940,00","4.566.276,00"
04/16/2021,"-1.073.050,00","-30.966.792,00"
04/15/2021,"-4.300.000,00","-93.126.000,00"
04/14/2021,"8.850.826,00","102.794.190,40"
04/13/2021,"-1.450.000,00","25.480.000,00"
04/12/2021,"3.540.000,00","179.722.610,00"
04/09/2021,"24.349.600,00","2.311.208.720,00"
04/08/2021,"178.400,00","12.065.559,70"
04/07/2021,"4.530.000,00","93.397.100,00"
04/06/2021,"979.920,00","114.017.240,00"
04/05/2021,"4.600.000,00","95.909.000,00"
04/02/2021,"650.000,00","13.684.500,00"
04/01/2021,"1.450.000,00","85.969.800,00"
03/31/2021,"3.580.000,00","411.700.000,00"
03/30/2021,"520.009,00","58.364.753,58"
03/29/2021,"-3.400.000,00","-117.149.000,00"
03/26/2021,"4.700.000,00","98.287.000,00"
03/25/2021,"7.454.800,00","823.351.680,40"
03/24/2021,"-2.129.909,00","-948.332,90"
03/23/2021,"900.000,00","-222.000,00"
03/22/2021,"2.959.969,00","63.744.859,70"
03/19/2021,"4.436.100,00","244.015.330,00"
03/18/2021,"-11.199.800,00","-203.708.484,90"
03/17/2021,"4.254.100,00","110.237.120,00"
03/16/2021,"8.337.900,00","168.418.458,00"
03/15/2021,"2.040.000,00","43.228.000,00"
03/12/2021,"310.406,00","9.704.420,25"
03/11/2021,"5.629.930,00","113.651.733,00"
03/10/2021,"65.950,00","1.518.400,50"
03/09/2021,"3.042.100,00","60.523.852,90"
03/08/2021,"-1.800.000,00","-35.220.000,00"
03/05/2021,"-927.300,00","-44.172.746,50"
03/04/2021,"1.300.000,00","28.368.300,00"
03/03/2021,"669.940,00","9.571.778,00"
03/02/2021,"464.606,00","-24.450.354,70"
03/01/2021,"80.000,00","3.685.680,00"
02/26/2021,"233.945,00","11.887.774,00"
02/25/2021,"571.500,00","13.764.000,00"
02/24/2021,"-792.300,00","-12.103.488,40"
02/23/2021,"916.714,00","79.279.266,00"
02/22/2021,"-20.040,00","-2.154.300,00"
02/19/2021,"2.719.804,00","52.865.462,35"
02/18/2021,"8.525.940,00","150.627.632,00"
02/17/2021,"6.671.300,00","103.183.862,70"
02/09/2021,"-2.400.870,00","66.432.571,70"
02/08/2021,"-5.240.000,00","22.910.275,00"
02/05/2021,"15.345.708,00","304.557.080,70"
02/04/2021,"14.109.990,00","253.748.523,00"
02/03/2021,"32.095.665,00","1.269.988.400,50"
02/02/2021,"738.710,00","12.977.005,60"
02/01/2021,"2.040.000,00","10.674.000,00"
01/29/2021,"8.394.700,00","863.015.681,37"
01/28/2021,"-892.910,00","-30.297.480,00"
01/27/2021,"-1.669.900,00","-57.579.900,00"
01/26/2021,"7.900.000,00","149.053.000,00"
01/25/2021,"14.313.242,00","201.173.968,40"
01/22/2021,"10.710.000,00","223.149.000,00"
01/21/2021,"-350.000,00","-27.671.000,00"
01/20/2021,"4.778.628,00","46.208.821,00"
01/19/2021,"-316.700,00","-16.333.810,00"
01/18/2021,"10.132.800,00","270.119.840,00"
01/15/2021,"-17.688.333,00","-1.641.878.324,70"
01/14/2021,"21.950.470,00","1.054.269.877,40"
01/13/2021,"12.538.010,00","204.504.518,00"
01/12/2021,"8.240.218,00","149.458.670,00"
01/11/2021,"15.657.600,00","350.886.100,00"
01/08/2021,"1.546.207,00","593.946,00"
01/07/2021,"3.300.000,00","41.768.900,00"
01/06/2021,"1.747.200,00","17.272.500,00"
01/05/2021,"879.970,00","14.039.009,00"
01/04/2021,"1.413.766,00","62.823.946,20"
12/31/2020,"4.152.850,00","69.644.721,50"
12/30/2020,"1.364.280,00","22.592.361,10"
12/29/2020,"-5.582.310,00","-433.540.041,00"
12/28/2020,"4.753.000,00","92.433.500,00"
12/25/2020,"0,00","0,00"
12/24/2020,"770.000,00","31.307.600,00"
12/23/2020,"1.194.417,00","23.987.713,70"
12/22/2020,"300.000,00","618.750,00"
12/21/2020,"6.050.000,00","97.312.700,00"
12/18/2020,"650.000,00","8.131.750,00"
12/17/2020,"3.992.090,00","72.600.562,00"
12/16/2020,"6.279.325,00","74.391.660,00"
12/15/2020,"12.769.996,00","179.692.085,60"
12/14/2020,"-6.134.274,00","-376.974.931,14"
12/11/2020,"19.435.737,00","689.200.625,00"
12/10/2020,"18.459.996,00","520.811.299,60"
12/09/2020,"1.060.000,00","30.301.800,00"
12/08/2020,"5.200.000,00","81.324.000,00"
12/07/2020,"2.840.000,00","101.979.600,00"
12/04/2020,"179.994,00","3.083.430,70"
12/03/2020,"2.790.000,00","54.167.490,00"
12/02/2020,"-63.391.591,00","-1.264.008.706,50"
12/01/2020,"9.003.380,00","95.066.582,00"
11/30/2020,"21.150.756,00","360.751.088,46"
11/27/2020,"15.279.993,00","249.538.157,10"
11/26/2020,"-7.206.880,00","-213.962.800,00"
11/25/2020,"826.076,00","24.695.854,80"
11/24/2020,"1.386.258,00","86.198.082,86"
11/23/2020,"1.502.350,00","145.293.472,50"
11/20/2020,"1.420.000,00","50.536.240,00"
11/19/2020,"855.000,00","96.962.500,00"
11/18/2020,"1.000.000,00","262.000.000,00"
11/17/2020,"523.141,00","2.745.029,92"
11/16/2020,"433.000,00","875.497,00"
11/13/2020,"3.056.000,00","280.911.400,00"
11/12/2020,"662.991,00","20.852.767,00"
11/11/2020,"380.000,00","10.117.500,00"
11/10/2020,"-2.260.966,00","-40.733.308,62"
11/09/2020,"560.000,00","66.180.440,00"
11/06/2020,"680.000,00","51.350.100,00"
11/05/2020,"895.000,00","75.342.000,00"
11/04/2020,"-1.118.874,00","-11.795.707,31"
11/03/2020,"38.930,00","25.562.639,61"
11/02/2020,"-65.000,00","268.500,00"
10/30/2020,"-200.000,00","-12.985.000,00"
10/29/2020,"0,00","0,00"
10/28/2020,"600.000,00","8.296.000,00"
10/27/2020,"1.236.000,00","36.612.000,00"
10/26/2020,"-1.568.310,00","-74.244.649,33"
10/23/2020,"1.262.000,00","130.389.100,00"
10/22/2020,"-26.000,00","-3.372.200,00"
10/21/2020,"-2.617.950,00","-69.290.058,50"
10/20/2020,"-31.275.926,00","-547.175.591,68"
10/19/2020,"1.707.361,00","15.407.333,35"
10/16/2020,"-2.482.009,00","-62.620.275,12"
10/15/2020,"2.140.000,00","5.254.660,00"
10/14/2020,"1.440.000,00","41.821.600,00"
10/13/2020,"600.000,00","44.349.000,00"
10/12/2020,"-3.530.003,00","-93.487.240,92"
10/09/2020,"-40.007,00","-1.217.821,66"
10/08/2020,"235.000,00","-174.770,00"
10/07/2020,"-340.007,00","-6.348.961,00"
10/06/2020,"-25.128,00","-1.150.280,40"
10/05/2020,"4.159.989,00","50.462.531,30"
10/02/2020,"0,00","0,00"
10/01/2020,"-443.258,00","-44.613.616,00"
09/30/2020,"850.000,00","11.312.650,00"
09/29/2020,"7.242.666,00","147.943.843,94"
09/28/2020,"877.000,00","12.872.703,00"
09/25/2020,"2.084.720,00","18.356.082,85"
09/24/2020,"1.476.000,00","24.429.800,00"
09/23/2020,"4.570.240,00","63.558.680,16"
09/22/2020,"3.500.000,00","39.632.700,00"
09/21/2020,"1.397.880,00","66.802.696,72"
09/18/2020,"1.877.330,00","35.850.591,11"
09/17/2020,"2.748.860,00","20.084.137,00"
09/16/2020,"100.000,00","1.061.400,00"
09/15/2020,"891.365,00","-79.427.736,99"
09/14/2020,"-968.276,00","-30.747.268,00"
09/11/2020,"1.434.720,00","29.760.957,90"
09/10/2020,"67.886.956,00","5.343.240.550,00"
09/09/2020,"496.600,00","16.206.371,00"
09/08/2020,"-3.209.997,00","-101.172.206,20"
09/07/2020,"381.670,00","-13.235.138,55"
09/04/2020,"-1.384.060,00","-46.995.420,08"
09/03/2020,"21.898.586,00","507.022.471,03"
09/01/2020,"-530.002,00","-44.332.296,20"
08/31/2020,"-1.088.189,00","-99.084.071,65"
08/28/2020,"-26.421.298,00","-727.362.765,24"
08/27/2020,"7.506.683,00","47.849.955,00"
08/26/2020,"-50.000,00","-8.953.700,00"
08/25/2020,"811.410,00","-49.438.520,00"
08/24/2020,"4.068.220,00","48.916.668,00"
08/21/2020,"-1.460.008,00","-23.487.623,92"
08/20/2020,"16.038.800,00","1.548.659.690,00"
08/19/2020,"-200.000,00","-2.642.000,00"
08/18/2020,"-3.328.410,00","-71.503.882,58"
08/17/2020,"-100.000,00","-4.050.000,00"
08/14/2020,"2.371.850,00","36.946.100,00"
08/13/2020,"2.650.000,00","36.185.000,00"
08/12/2020,"894.000,00","17.637.030,00"
08/11/2020,"-110.010,00","-2.511.726,95"
08/10/2020,"958.600,00","12.944.704,40"
08/07/2020,"-6.022.000,00","-189.234.100,00"
08/06/2020,"60.000,00","4.674.000,00"
08/05/2020,"0,00","2.685.200,00"
08/04/2020,"-1.900.000,00","-77.262.940,00"
08/03/2020,"-1.466.000,00","-15.191.600,00"
07/31/2020,"-1.600.000,00","-37.604.500,00"
07/30/2020,"1.259.995,00","28.510.574,00"
07/29/2020,"11.024.606,00","198.122.331,40"
07/28/2020,"1.147.720,00","12.562.823,80"
07/27/2020,"2.658.130,00","21.621.641,00"
07/24/2020,"4.460.000,00","68.945.600,00"
07/23/2020,"3.027.000,00","25.575.400,00"
07/22/2020,"-64.350,00","-5.387.222,50"
07/21/2020,"500.000,00","13.744.500,00"
07/20/2020,"100.000,00","3.140.000,00"
07/17/2020,"220.000,00","6.749.000,00"
07/16/2020,"2.264.610,00","28.105.342,00"
07/15/2020,"3.750.000,00","83.410.200,00"
07/14/2020,"-420.008,00","3.492.598,40"
07/13/2020,"-59.950,00","16.831.923,90"
07/10/2020,"-585.400,00","-74.223.430,00"
07/09/2020,"-2.250.000,00","-51.500.000,00"
07/08/2020,"-3.884.376,00","-130.403.626,80"
07/07/2020,"473.300,00","54.158.085,30"
07/06/2020,"539.985,00","3.662.298,11"
07/03/2020,"-309.980,00","87.225.941,19"
07/02/2020,"-2.448.300,00","-59.037.330,00"
07/01/2020,"783.940,00","128.193.167,20"
06/30/2020,"1.779.112,00","19.623.139,16"
06/29/2020,"1.204.985,00","15.258.197,50"
06/26/2020,"2.126.270,00","115.240.614,50"
06/25/2020,"1.782.000,00","37.669.000,00"
06/24/2020,"5.478.020,00","113.421.070,35"
06/23/2020,"279.998,00","10.257.046,41"
06/22/2020,"-513.458,00","-5.600.156,00"
06/19/2020,"483.625,00","-22.903.715,20"
06/18/2020,"7.754.000,00","-121.128.440,00"
06/17/2020,"2.060.000,00","25.781.774,00"
06/16/2020,"758.000,00","9.698.480,00"
06/15/2020,"200.457.106,00","15.089.946.228,00"
06/12/2020,"-11.048.731,00","-173.916.379,20"
06/11/2020,"13.100.000,00","122.447.000,00"
06/10/2020,"10.477.520,00","131.525.146,00"
06/09/2020,"11.980.000,00","148.486.560,00"
06/08/2020,"14.723.990,00","162.935.649,00"
06/05/2020,"-10.917.860,00","-146.396.235,00"
06/04/2020,"-11.070.007,00","-154.036.162,90"
06/03/2020,"-10.035.000,00","-145.007.900,00"
06/02/2020,"-1.620.530,00","-35.142.423,50"
06/01/2020,"6.474.890,00","68.963.075,00"
05/29/2020,"7.177.950,00","28.384.554,50"
05/28/2020,"-1.733.297,00","-27.120.543,50"
05/27/2020,"-1.789.950,00","-17.054.266,25"
05/26/2020,"-830.000,00","-18.367.700,00"
05/25/2020,"-5.977.960,00","-79.291.100,00"
05/22/2020,"-3.213.463,00","-37.721.729,15"
05/21/2020,"2.123.613,00","24.544.098,06"
05/20/2020,"3.781.540,00","51.912.834,30"
05/19/2020,"1.200.851,00","24.260.038,50"
05/18/2020,"1.305.730,00","21.358.863,60"
05/15/2020,"18.608.066,00","205.773.261,05"
05/14/2020,"48.073.843,00","2.416.204.012,28"
05/13/2020,"4.415.929,00","47.216.466,87"
05/12/2020,"-1.177.302,00","-31.067.266,40"
05/11/2020,"-5.960.503,00","-192.765.575,90"
05/08/2020,"-164.783,00","-33.157.783,21"
05/07/2020,"-1.132.270,00","-45.131.107,00"
05/06/2020,"-36.555.288,00","-2.162.674.668,00"
05/05/2020,"-155.780,00","-3.882.000,00"
05/04/2020,"-132.000,00","-2.428.800,00"
04/29/2020,"-17.437.419,00","-341.971.261,50"
04/28/2020,"-1.576.480,00","-26.254.436,00"
04/27/2020,"-260.000,00","-4.756.000,00"
04/24/2020,"-2.900.000,00","-43.779.000,00"
04/23/2020,"-1.497.830,00","-23.016.449,00"
04/22/2020,"627.000,00","46.017.900,00"
04/21/2020,"-2.893.250,00","-51.140.004,00"
04/20/2020,"39.050,00","434.245,50"
04/17/2020,"278.400,00","7.320.882,50"
04/16/2020,"-400.196,00","-9.824.783,00"
04/15/2020,"-220.000,00","-6.086.000,00"
04/14/2020,"446.690,00","-5.171.295,70"
04/13/2020,"-3.418.563,00","-90.960.868,12"
04/10/2020,"50.000,00","2.158.450,00"
04/09/2020,"-670.410,00","980.541,00"
04/08/2020,"-9.046.740,00","-44.040.065,00"
04/07/2020,"-1.575.380,00","-21.023.378,00"
04/06/2020,"-2.370.807,00","-27.207.182,85"
04/03/2020,"-3.595.000,00","-68.556.500,00"
04/01/2020,"-760.000,00","-15.110.000,00"
03/31/2020,"-110.120,00","-10.547.360,00"
03/30/2020,"230.000,00","-6.522.250,00"
03/27/2020,"-2.651.000,00","-20.560.976,00"
03/26/2020,"-475.000,00","-5.154.500,00"
03/25/2020,"-1.101.070,00","-46.128.698,00"
03/24/2020,"-4.172.670,00","-107.292.765,00"
03/23/2020,"-400.000,00","-4.302.500,00"
03/20/2020,"-560.000,00","-10.080.000,00"
03/19/2020,"14.290.800,00","128.619.720,00"
03/18/2020,"-5.111.250,00","-106.176.250,00"
03/17/2020,"-7.656.100,00","-90.188.406,00"
03/16/2020,"-770.004,00","-10.609.576,60"
03/13/2020,"-1.466.780,00","-14.216.182,00"
03/12/2020,"-1.638.520,00","-39.073.220,00"
03/11/2020,"-3.114.850,00","-36.555.140,00"
03/10/2020,"-9.697.660,00","-107.869.086,46"
03/09/2020,"-144.810,00","-19.256.437,00"
03/06/2020,"545.000,00","15.294.600,00"
03/05/2020,"437.190,00","15.306.525,00"
03/04/2020,"192.070,00","-34.478.235,80"
03/03/2020,"2.440.100,00","46.182.855,40"
03/02/2020,"2.150.000,00","58.006.600,00"
02/28/2020,"-2.072.632,00","-15.052.059,00"
02/27/2020,"-2.588.140,00","-24.763.691,52"
02/26/2020,"-400.000,00","-5.595.200,00"
02/25/2020,"-5.950.007,00","-24.922.869,40"
02/24/2020,"-7.033.453,00","-147.737.523,50"
02/21/2020,"-2.610.000,00","-36.232.400,00"
02/20/2020,"-2.000.000,00","-28.831.600,00"
02/19/2020,"-540.007,00","-13.824.179,20"
02/18/2020,"-1.121.180,00","-25.038.572,00"
02/17/2020,"0,00","0,00"
02/14/2020,"933.020,00","521.790,32"
02/13/2020,"-273.000,00","-10.836.558,00"
02/12/2020,"1.567.610,00","18.625.491,90"
02/11/2020,"-1.660.000,00","-24.902.350,00"
02/10/2020,"-480.000,00","-12.919.100,00"
02/07/2020,"-5.575.790,00","-98.082.220,00"
02/06/2020,"916.710,00","-1.305.393,50"
02/05/2020,"350.000,00","6.035.400,00"
02/04/2020,"-450.200,00","-1.794.480,00"
02/03/2020,"406.430,00","-6.525.821,50"
01/31/2020,"2.105.990,00","45.563.457,50"
01/30/2020,"-1.500.900,00","-24.923.883,00"
01/22/2020,"-1.140.000,00","-117.118.000,00"
01/21/2020,"129.970,00","-67.681.756,98"
01/20/2020,"4.671.140,00","554.053.107,60"
01/17/2020,"-3.021.790,00","-14.669.884,50"
01/16/2020,"-220.080,00","30.529.238,00"
01/15/2020,"-2.547.860,00","-69.951.605,50"
01/14/2020,"13.311.914,00","285.879.842,40"
01/13/2020,"340.080,00","-4.822.840,00"
01/10/2020,"-1.333.430,00","-25.335.170,00"
01/09/2020,"788.643,00","73.443.674,00"
01/08/2020,"-12.211.914,00","-259.331.237,00"
01/07/2020,"0,00","0,00"
01/06/2020,"872.000,00","12.746.400,00"
01/03/2020,"200.000,00","-6.773.500,00"
01/02/2020,"600.000,00","8.835.000,00"
12/31/2019,"-550.000,00","-21.818.000,00"
12/30/2019,"130.010,00","2.116.192,00"
12/27/2019,"200.000,00","-2.381.000,00"
12/26/2019,"-250.000,00","-10.250.000,00"
12/25/2019,"0,00","0,00"
12/24/2019,"3.200.000,00","46.373.500,00"
12/23/2019,"717.540,00","10.795.835,50"
12/20/2019,"553.920,00","-94.833.080,00"
12/19/2019,"258.000,00","4.359.000,00"
12/18/2019,"-101.000,00","-49.518.800,00"
12/17/2019,"0,00","0,00"
12/16/2019,"8.899.520,00","200.970.816,00"
12/13/2019,"3.600.000,00","52.795.700,00"
12/12/2019,"0,00","0,00"
12/11/2019,"28.858,00","-34.608.570,00"
12/10/2019,"50.000,00","1.620.000,00"
12/09/2019,"-350.710,00","-23.609.328,00"
12/06/2019,"255.000,00","8.282.000,00"
12/05/2019,"368.500,00","7.301.925,00"
12/04/2019,"299.460,00","-43.402.200,00"
12/03/2019,"773.140,00","26.602.405,00"
12/02/2019,"428.175,00","4.595.112,50"
11/29/2019,"-793.200,00","-86.995.467,00"
11/28/2019,"-510.000,00","-14.366.100,00"
11/27/2019,"-226.770,00","-5.733.829,14"
11/26/2019,"-220.001,00","-10.968.613,90"
11/25/2019,"4.817.460,00","87.993.535,00"
11/22/2019,"900.000,00","18.533.500,00"
11/21/2019,"-9.620.000,00","-247.484.000,00"
11/20/2019,"630.000,00","11.449.500,00"
11/19/2019,"951.000,00","23.040.750,00"
11/18/2019,"-60.000,00","-45.830.250,00"
11/15/2019,"-1.320.000,00","-20.512.500,00"
11/14/2019,"60.000,00","7.440.000,00"
11/13/2019,"-13.572.950,00","-347.739.925,00"
11/12/2019,"-455.000,00","-54.600.000,00"
11/11/2019,"-300.000,00","-4.717.500,00"
11/08/2019,"29.680,00","3.769.360,00"
11/07/2019,"1.671.110,00","50.988.703,60"
11/06/2019,"275.920,00","8.052.320,00"
11/05/2019,"1.300.000,00","25.932.500,00"
11/04/2019,"0,00","0,00"
11/01/2019,"-2.155.000,00","-51.160.900,00"
10/31/2019,"15.200,00","-537.435,00"
10/30/2019,"90.660,00","7.014.952,00"
10/29/2019,"144.000,00","18.792.000,00"
10/28/2019,"3.840,00","18.567.760,00"
10/25/2019,"646.600,00","9.957.640,00"
10/24/2019,"70.870,00","208.683,89"
10/23/2019,"-477.120,00","-852.320,00"
10/22/2019,"0,00","0,00"
10/21/2019,"100.000,00","7.480.000,00"
10/18/2019,"60.950,00","4.194.070,00"
10/17/2019,"2.220.000,00","35.000.000,00"
10/16/2019,"-650.000,00","-77.025.000,00"
10/15/2019,"-1.200.000,00","-101.698.000,00"
10/14/2019,"200.000,00","3.068.000,00"
10/11/2019,"-600.000,00","-70.500.000,00"
10/10/2019,"-922.000,00","-90.176.500,00"
10/09/2019,"-550.000,00","-28.875.000,00"
10/08/2019,"30.000,00","639.000,00"
10/07/2019,"35.380,00","2.279.518,00"
10/04/2019,"-2.179.220,00","-100.196.930,00"
10/03/2019,"-75.004,00","2.187.295,76"
10/02/2019,"-4.127.574,00","-103.599.814,60"
10/01/2019,"-380.000,00","-6.630.070,00"
09/30/2019,"130.000,00","14.522.000,00"
09/27/2019,"-1.450.500,00","-21.714.900,00"
09/26/2019,"-1.419.709,00","-17.411.132,60"
09/25/2019,"0,00","1.079.700,00"
09/24/2019,"21.400,00","2.559.204,60"
09/23/2019,"-500.000,00","-7.617.000,00"
09/20/2019,"-461.170,00","-3.810.029,75"
09/19/2019,"-337.000,00","-4.882.250,00"
09/18/2019,"-123.620,00","3.327.415,00"
09/17/2019,"-21.863.000,00","-217.915.100,00"
09/16/2019,"-400.000,00","-8.221.400,00"
09/13/2019,"-420.004,00","-6.188.791,35"
09/12/2019,"0,00","0,00"
09/11/2019,"0,00","0,00"
09/10/2019,"0,00","0,00"
09/09/2019,"0,00","0,00"
09/06/2019,"-1.506.780,00","-23.129.073,00"
09/05/2019,"0,00","0,00"
09/04/2019,"-150.000,00","-2.205.000,00"
09/03/2019,"-1.263.929,00","-17.196.667,20"
08/30/2019,"-300.000,00","-320.000,00"
08/29/2019,"-1.000.000,00","-12.050.000,00"
08/28/2019,"-500.000,00","-6.995.000,00"
08/27/2019,"-1.000.000,00","-16.575.500,00"
08/26/2019,"-6.180.000,00","-92.108.700,00"
08/23/2019,"-1.942.000,00","-38.172.072,00"
08/22/2019,"-1.214.110,00","-21.052.302,00"
08/21/2019,"3.919.959,00","183.180.980,00"
08/20/2019,"-200.000,00","-2.966.000,00"
08/19/2019,"7.800.000,00","933.042.500,00"
08/16/2019,"-4.900.000,00","-70.451.500,00"
08/15/2019,"0,00","0,00"
08/14/2019,"-800.000,00","-11.693.200,00"
08/13/2019,"-2.480.000,00","-42.810.000,00"
08/12/2019,"-1.870.000,00","-27.094.930,00"
08/09/2019,"-2.670.000,00","-41.032.750,00"
08/08/2019,"-860.000,00","-8.432.400,00"
08/07/2019,"-2.185.048,00","-28.151.902,60"
08/06/2019,"-2.452.000,00","-36.171.200,00"
08/05/2019,"-4.140.000,00","-92.879.000,00"
08/02/2019,"-2.200.000,00","-102.561.500,00"
08/01/2019,"-400.000,00","-5.877.500,00"
07/31/2019,"-275.000,00","-32.042.500,00"
07/30/2019,"-935.110,00","-32.444.910,00"
07/29/2019,"-160.102,00","-8.527.144,56"
07/26/2019,"0,00","0,00"
07/25/2019,"-472.007,00","-80.327.910,92"
