Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),Tổng KL ròng (CP)
02/20/2020,"-41.791.598,40","-635.110,00","-7.703.816,00","-11.795.870,00","-274.069.684,10"
02/19/2020,"-14.424.896,80","-2.929.860,00","-24.430.170,00","-7.367.340,00","-200.402.031,40"
02/18/2020,"74.719.092,60","973.760,00","8.155.542,00","-8.225.070,00","-272.140.100,10"
02/17/2020,"-1.177.967,50","-994.870,00","-18.384.310,00","-4.079.640,00","-130.820.058,00"
02/14/2020,"80.243.718,00","-673.000,00","35.740.050,00","-4.371.190,00","-141.026.872,70"
02/13/2020,"49.581.911,50","-253.000,00","4.025.700,00","-3.830.410,00","-73.699.894,70"
02/12/2020,"-63.731.412,40","-728.090,00","42.667.890,00","-2.894.920,00","-129.155.152,80"
02/11/2020,"-29.539.156,00","1.499.000,00","15.992.800,00","-2.967.000,00","-104.598.743,00"
02/10/2020,"24.845.155,60","1.637.080,00","54.362.712,00","194.980,00","-8.239.105,50"
02/07/2020,"-74.925.894,60","4.630.000,00","51.718.550,00","-3.725.690,00","-111.917.025,70"
02/06/2020,"-197.566.334,70","-1.749.000,00","-18.274.100,00","-4.371.790,00","-260.113.017,70"
02/05/2020,"-112.087.364,50","-3.815.000,00","-114.400.000,00","-11.458.520,00","-211.282.447,50"
02/04/2020,"-143.294.691,20","-1.372.500,00","-25.006.480,00","-12.526.790,00","-297.689.187,00"
02/03/2020,"236.463.636,90","1.279.880,00","79.193.119,00","2.672.220,00","38.343.672,20"
01/31/2020,"152.135.007,40","1.033.000,00","2.186.950,00","-2.145.520,00","-70.006.646,50"
01/30/2020,"132.943.773,30","1.340.800,00","20.278.519,40","-2.671.040,00","-173.262.386,70"
01/22/2020,"-87.946.246,10","3.610.000,00","24.563.700,00","3.793.680,00","77.220.658,20"
01/21/2020,"-70.678.817,30","-1.755.000,00","-23.871.650,00","-260.440,00","14.184.060,00"
01/20/2020,"135.528.536,00","1.454.000,00","-280.465.000,00","-2.664.630,00","-63.321.777,00"
01/17/2020,"39.600.538,90","2.594.680,00","-27.666.915,50","1.074.770,00","85.414.701,20"
01/16/2020,"-20.396.587,70","2.436.760,00","146.743.991,00","-1.708.340,00","60.549.961,50"
01/15/2020,"-1.756.856,30","3.590.000,00","49.445.000,00","2.932.220,00","129.955.126,30"
01/14/2020,"153.644.267,90","-8.737.924,00","-225.844.237,40","2.713.490,00","104.727.755,80"
01/13/2020,"1.935.666,10","2.425.600,00","166.114.826,00","3.453.600,00","142.398.955,80"
01/10/2020,"98.380.670,60","5.651.070,00","122.700.793,33","5.208.250,00","127.230.743,30"
01/09/2020,"-57.367.236,10","3.685.353,00","65.190.646,35","931.710,00","94.548.974,10"
01/08/2020,"62.914.398,50","10.876.254,00","291.918.563,00","-100.280,00","52.393.320,70"
01/07/2020,"126.225.553,20","-860.380,00","-14.146.381,10","-1.226.110,00","-54.972.569,50"
01/06/2020,"-40.782.595,60","10.364.000,00","203.993.400,00","2.530.260,00","18.951.783,00"
01/03/2020,"44.285.869,90","-1.712.000,00","-62.344.800,00","3.280.860,00","167.107.146,40"
01/02/2020,"138.998.964,10","4.537.524,00","112.058.084,04","-46.090,00","-34.071.778,80"
12/31/2019,"242.767.265,80","-4.082.444,00","-83.020.412,20","-2.739.410,00","-111.627.134,70"
12/30/2019,"101.357.817,70","135.605,00","9.164.866,00","3.551.340,00","79.952.113,00"
12/27/2019,"42.022.665,90","4.794.450,00","73.433.014,00","2.958.080,00","48.372.525,80"
12/26/2019,"-308.588.762,90","64.805.200,00","1.390.980.833,80","4.384.440,00","66.786.428,00"
12/25/2019,"-27.283.944,30","2.882.900,00","44.459.328,70","-1.272.700,00","-16.252.400,40"
12/24/2019,"-18.502.145,30","-6.371.936,00","-119.281.280,00","2.236.030,00","32.584.133,30"
12/23/2019,"89.649.543,80","-788.060,00","-10.176.750,50","1.552.410,00","51.588.668,10"
12/20/2019,"138.659.035,20","2.878.044,00","76.914.124,00","-2.803.360,00","-202.627.531,90"
12/19/2019,"-296.566.143,10","4.211.363,00","106.739.036,05","5.423.410,00","182.955.805,70"
12/18/2019,"-4.858.199,00","47.081.840,00","1.156.068.839,50","-1.311.240,00","25.915.940,50"
12/17/2019,"-11.817.743,10","-289.450,00","-3.955.385,00","-2.797.300,00","-29.560.184,40"
12/16/2019,"154.041.708,20","-15.005.199,00","-306.825.127,50","-2.881.550,00","-100.315.264,20"
12/13/2019,"109.673.690,90","-5.397.450,00","-127.977.629,55","-780.050,00","-29.925.828,30"
12/12/2019,"28.221.033,30","-3.931.601,00","-108.162.492,00","-4.824.090,00","-169.572.223,00"
12/11/2019,"32.953.546,50","-647.820,00","-28.849.647,00","-5.064.040,00","-129.327.152,70"
12/10/2019,"203.683.232,40","6.133.920,00","204.365.163,00","-832.700,00","-142.086.349,90"
12/09/2019,"159.417.411,70","-823.230,00","14.887.999,28","1.964.860,00","63.435.832,70"
12/06/2019,"440.249.119,50","10.263.677,00","285.813.673,00","2.034.880,00","-51.749.809,90"
12/05/2019,"300.884.534,50","-8.019.001,00","-135.295.235,50","-562.590,00","-72.636.516,50"
12/04/2019,"441.883.073,50","-922.200,00","-14.665.940,00","-1.357.710,00","-227.629.659,80"
12/03/2019,"500.114.680,10","28.613.773,00","2.759.601.832,20","-4.875.890,00","-265.151.075,50"
12/02/2019,"797.683.859,30","432.225,00","7.740.451,50","-1.084.370,00","-5.966.137,20"
11/29/2019,"-4.590.241,70","3.671.620,00","77.361.464,00","4.440.550,00","149.932.333,30"
11/28/2019,"284.416.030,90","3.722.561,00","71.715.754,00","1.498.780,00","68.465.987,70"
11/27/2019,"313.205.231,60","3.560.000,00","84.028.950,00","2.653.290,00","81.548.676,80"
11/26/2019,"46.614.298,00","-659.999,00","-6.927.486,10","-4.992.040,00","-128.068.235,20"
11/25/2019,"64.139.826,40","-4.433.540,00","-61.642.830,00","-220.170,00","-41.117.019,70"
11/22/2019,"81.112.313,50","-1.490.738,00","-27.588.818,00","1.015.890,00","-4.329.166,50"
11/21/2019,"-615.265.170,50","5.550.000,00","140.782.500,00","-4.643.400,00","-101.025.362,20"
11/20/2019,"25.146.280,60","1.065.000,00","70.964.950,00","-1.328.460,00","-66.769.701,40"
11/19/2019,"91.038.077,60","-6.675.000,00","-152.100.500,00","-2.435.060,00","-114.116.127,10"
11/18/2019,"79.937.143,10","-1.061.500,00","-21.422.100,00","-1.380.600,00","-91.787.924,60"
11/15/2019,"287.804.406,90","750.000,00","11.183.200,00","-1.554.380,00","-165.690.892,40"
11/14/2019,"209.982.569,10","381.900,00","6.467.107,90","-597.140,00","-61.895.410,40"
11/13/2019,"204.780.361,60","1.252.134,00","39.407.433,37","1.233.080,00","-140.633.897,50"
11/12/2019,"43.623.460,70","-9.252.319,00","-178.132.172,65","733.840,00","-146.352.562,40"
11/11/2019,"-59.960.834,50","-7.850.000,00","-152.091.000,00","2.106.680,00","-6.034.400,40"
11/08/2019,"-30.370.503,10","728.399,00","9.647.069,50","-475.690,00","-96.257.564,20"
11/07/2019,"-16.164.062,70","-2.041.223,00","-60.793.239,33","1.038.480,00","-40.142.308,70"
11/06/2019,"-73.920.721,20","8.200.480,00","195.641.660,00","1.726.870,00","-48.468.529,10"
11/05/2019,"-91.145.302,70","-1.980.000,00","-54.666.500,00","-324.910,00","-87.305.358,20"
11/04/2019,"-76.531.871,60","-699.797,00","3.650.460,70","100.700,00","64.649.193,30"
11/01/2019,"-49.140.753,30","-3.239.055,00","-61.995.802,25","2.096.530,00","138.066.383,20"
10/31/2019,"104.813.073,50","-2.201.000,00","-44.365.519,20","-733.280,00","-135.072.103,50"
10/30/2019,"55.285.217,90","-4.930.660,00","-113.276.272,00","-1.946.440,00","-85.916.000,20"
10/29/2019,"28.949.190,80","-4.532.000,00","-109.883.450,00","-1.326.570,00","-40.338.214,20"
10/28/2019,"17.881.128,60","-3.494.200,00","-85.257.226,00","-118.800,00","-3.777.963,10"
10/25/2019,"37.095.042,30","-7.532.810,00","-128.010.522,23","20.690,00","15.810.147,90"
10/24/2019,"-83.025.395,20","772.790,00","4.623.371,50","-3.526.130,00","-45.188.514,30"
10/23/2019,"126.969.423,50","-868.380,00","-16.426.830,00","-414.860,00","16.857.289,30"
10/22/2019,"167.436.069,70","4.998.060,00","86.378.484,50","1.035.760,00","37.157.324,80"
10/21/2019,"119.343.549,70","-7.295.500,00","-154.556.750,00","-1.940.150,00","-18.679.376,40"
10/18/2019,"107.741.708,20","-288.950,00","-17.807.510,00","1.291.130,00","72.936.463,60"
10/17/2019,"-119.740.657,10","-3.153.000,00","-16.204.500,00","-814.590,00","18.431.694,30"
10/16/2019,"39.069.952,20","2.739.000,00","68.135.400,00","-793.980,00","31.581.347,70"
10/15/2019,"46.819.793,10","-1.594.000,00","-27.102.400,00","-3.034.830,00","-44.715.909,50"
10/14/2019,"-128.352.577,70","-692.000,00","-11.680.750,00","1.157.590,00","64.554.429,60"
10/11/2019,"12.486.061,50","-1.701.896,00","5.666.632,26","-4.170.040,00","-52.369.705,20"
10/10/2019,"37.490.094,00","-5.305.000,00","-110.973.000,00","11.910,00","-2.036.321,60"
10/09/2019,"25.897.369,00","-1.972.800,00","-49.413.900,00","-531.830,00","-22.553.697,80"
10/08/2019,"77.951.606,20","-6.751.624,00","-182.168.802,88","280.580,00","15.225.104,70"
10/07/2019,"152.496.542,00","29.620,00","-4.471.168,00","-2.551.800,00","-27.092.042,90"
10/04/2019,"57.300.435,70","1.162.000,00","45.708.500,00","-4.331.870,00","-77.787.969,10"
10/03/2019,"5.695.380,00","3.433.960,00","74.739.014,00","-13.859.520,00","-157.035.364,20"
10/02/2019,"67.709.999,10","1.174.874,00","20.456.778,40","-3.917.530,00","-194.357.014,50"
10/01/2019,"-18.125.610,40","-19.610.000,00","-369.811.800,00","-3.806.090,00","-66.945.938,60"
09/30/2019,"69.443.903,10","208.680,00","-1.471.128,00","-1.104.790,00","-16.862.446,00"
09/27/2019,"-20.577.708,30","-2.921.000,00","-60.898.290,00","-3.449.210,00","-17.852.963,90"
09/26/2019,"21.481.921,70","1.310.000,00","18.129.200,00","-3.429.460,00","-49.812.865,90"
09/25/2019,"31.050.631,60","-24.046.000,00","-462.714.820,00","-3.729.430,00","-67.403.383,90"
09/24/2019,"28.192.710,30","3.906.160,00","15.753.102,40","-1.406.970,00","-21.590.069,60"
09/23/2019,"37.435.011,70","-3.672.109,00","-72.044.171,40","-2.152.220,00","-51.895.641,40"
09/20/2019,"93.069.491,60","7.899.910,00","137.071.732,60","-14.176.820,00","-557.419.676,90"
09/19/2019,"45.867.965,50","-8.162.620,00","-193.107.148,00","443.580,00","24.454.796,10"
09/18/2019,"-129.023,40","-2.012.380,00","-44.186.215,00","2.673.800,00","127.119.146,00"
09/17/2019,"4.318.887,20","-32.287.402,00","-135.389.150,80","1.187.810,00","42.504.922,30"
09/16/2019,"782.610,20","145.000,00","2.864.450,00","-1.606.870,00","-59.126.025,50"
09/13/2019,"-33.053.682,20","-529.420,00","-5.565.752,28","-887.960,00","-31.203.026,70"
09/12/2019,"-37.278.719,80","4.269.480,00","13.444.946,40","-296.170,00","-17.900.751,20"
09/11/2019,"22.395.657,90","1.622.000,00","32.361.150,00","-224.360,00","4.172.335,90"
09/10/2019,"9.262.525,60","5.561.000,00","109.551.700,00","-2.927.360,00","-24.836.661,60"
09/09/2019,"-8.082.381,30","1.157.830,00","15.589.251,00","-1.048.220,00","-11.986.017,20"
09/06/2019,"37.925.128,30","1.598.780,00","25.355.933,00","-1.122.000,00","-8.246.768,70"
09/05/2019,"81.044.098,40","645.000,00","19.690.200,00","-4.101.130,00","-110.867.107,00"
09/04/2019,"24.213.144,10","127.000,00","1.699.000,00","-3.140.430,00","-44.014.153,20"
09/03/2019,"-96.897.599,30","1.505.000,00","19.679.100,00","1.216.860,00","54.510.196,90"
08/30/2019,"-36.685.274,70","-360.000,00","-4.905.200,00","1.609.850,00","52.057.232,20"
08/29/2019,"-35.051.950,70","700.000,00","9.000.000,00","-947.100,00","-5.564.408,10"
08/28/2019,"-47.880.200,10","-935.000,00","-22.314.400,00","-1.003.890,00","-40.442.622,20"
08/27/2019,"27.242.509,80","689.179,00","16.652.728,45","-1.343.950,00","-111.478.476,40"
08/26/2019,"-196.230.596,80","5.138.000,00","64.855.800,00","-3.421.080,00","-80.017.093,30"
08/23/2019,"-6.843.253,60","465.000,00","2.369.450,00","-2.004.830,00","-49.832.150,80"
08/22/2019,"3.992.546,80","1.684.110,00","26.181.602,00","321.840,00","43.845.312,50"
08/21/2019,"25.134.852,30","262.000,00","-31.904.720,00","-1.490.040,00","-14.873.770,60"
08/20/2019,"-6.705.136,30","1.211.260,00","24.365.645,00","-2.376.400,00","-43.783.197,60"
08/19/2019,"40.621.781,20","-310.000,00","-9.051.450,00","-971.870,00","7.397.211,50"
08/16/2019,"-16.981.457,80","1.931.610,00","17.025.360,00","-5.628.850,00","-71.250.076,00"
08/15/2019,"92.775.926,60","-1.135.000,00","-29.880.950,00","-2.027.270,00","-23.390.594,00"
08/14/2019,"40.745.202,50","694.000,00","11.181.550,00","-3.500.700,00","-81.646.413,10"
08/13/2019,"-15.801.459,40","1.000.000,00","25.812.000,00","-3.249.700,00","-129.395.164,90"
08/12/2019,"-6.869.028,70","15.761.500,00","188.980.800,00","494.460,00","-1.762.355,20"
08/09/2019,"-23.945.985,50","32.650.000,00","576.372.250,00","-2.206.160,00","5.296.638,00"
08/08/2019,"-47.131.016,10","770.000,00","11.426.800,00","-4.739.160,00","-61.537.601,40"
08/07/2019,"-43.826.874,80","3.278.740,00","36.098.561,20","-4.168.900,00","-64.799.908,30"
08/06/2019,"104.295.128,90","2.502.000,00","40.219.200,00","-5.791.870,00","-147.998.878,20"
08/05/2019,"24.632.990,50","5.950.000,00","131.641.500,00","-3.978.820,00","-86.950.343,30"
08/02/2019,"-23.228.991,00","2.235.000,00","102.624.150,00","-852.670,00","-33.157.874,00"
08/01/2019,"-34.053.956,70","-25.400.000,00","-412.772.500,00","-2.835.040,00","-69.916.334,30"
07/31/2019,"-71.627.140,90","-4.252.900,00","-76.768.550,00","776.120,00","-26.479.813,10"
07/30/2019,"59.364.499,20","1.100.000,00","21.246.000,00","-1.988.160,00","-54.510.142,50"
07/29/2019,"78.568.750,70","-3.494.798,00","-71.443.354,00","-2.544.400,00","-16.286.085,20"
07/26/2019,"7.742.086,10","-175.000,00","-3.070.000,00","-228.580,00","19.298.810,50"
07/25/2019,"-35.222.527,40","-712.200,00","415.772,00","-5.575.210,00","19.429.333,00"
07/24/2019,"-20.473.323,60","-775.780,00","-20.473.323,60","-4.417.340,00","4.135.970,00"
07/23/2019,"-73.067.549,20","12.157.000,00","220.181.300,00","-4.462.700,00","-40.053.782,70"
07/22/2019,"-107.829.107,50","147.000,00","5.952.600,00","-1.196.940,00","53.192.723,40"
07/19/2019,"24.433.531,20","-430.000,00","-7.823.000,00","-1.509.320,00","84.046.577,70"
07/18/2019,"-215.425.825,40","470.000,00","4.404.900,00","-2.239.400,00","-28.051.095,80"
07/17/2019,"-189.083.782,60","80.000,00","2.402.500,00","-1.316.720,00","23.286.237,90"
07/16/2019,"-100.503.181,00","-5.985.993,00","-99.671.194,20","2.402.220,00","95.062.918,20"
07/15/2019,"-122.704.952,10","-3.982.000,00","-75.362.540,00","-2.718.190,00","-26.048.182,40"
07/12/2019,"-120.569.688,20","1.374.110,00","28.286.950,00","2.653.700,00","74.435.896,50"
07/11/2019,"32.350.173,90","6.706.000,00","66.428.800,00","-1.571.240,00","-9.582.076,40"
07/10/2019,"90.891.713,20","-2.188.000,00","-36.821.600,00","-331.400,00","52.773.989,10"
07/09/2019,"-91.396.282,50","-3.815.000,00","-114.400.000,00","294.930,00","11.333.763,00"
07/08/2019,"-140.530.044,40","-19.647.000,00","-117.407.550,00","439.000,00","25.052.105,50"
07/05/2019,"-50.694.427,30","-6.324.560,00","-45.594.990,00","691.740,00","60.007.479,50"
07/04/2019,"134.528.841,30","5.120.300,00","2.740.762,00","-2.087.840,00","-21.682.534,80"
07/03/2019,"-52.635.764,00","595.007,00","11.261.407,15","-2.454.710,00","-39.211.373,10"
07/02/2019,"26.903.932,50","620.000,00","9.117.400,00","-5.160.070,00","-56.321.253,10"
07/01/2019,"222.665.401,50","-3.753.958,00","-118.688.101,90","-2.299.440,00","-62.241.729,40"
06/28/2019,"-136.719.616,90","6.200.000,00","52.085.900,00","2.650.570,00","59.352.643,60"
06/27/2019,"96.632.028,50","3.864.800,00","35.001.800,00","2.670.600,00","26.131.397,90"
06/26/2019,"72.109.952,60","6.129.942,00","44.760.332,88","2.331.980,00","94.601.572,60"
06/25/2019,"148.094.974,30","1.430.005,00","-22.714.150,70","406.600,00","5.664.886,30"
06/24/2019,"90.345.394,60","574.000,00","1.267.000,00","797.300,00","52.565.851,50"
06/21/2019,"55.629.945,10","-3.150.300,00","-38.857.270,00","-21.433.410,00","-265.058.613,70"
06/20/2019,"67.810.444,40","-439.460,00","2.615.248,00","-700.870,00","-27.283.695,60"
06/19/2019,"19.840.132,60","4.415.350,00","103.305.065,00","741.680,00","14.313.539,20"
06/18/2019,"-160.246.913,40","3.760.800,00","17.811.440,00","1.219.660,00","84.975.224,70"
06/17/2019,"-118.585.145,60","12.061.935,00","120.125.928,50","324.140,00","57.121.664,20"
06/14/2019,"15.972.169,70","1.473.850,00","9.567.905,00","-849.960,00","-16.806.050,60"
06/13/2019,"25.292.491,00","-5.270.319,00","-98.908.845,60","-1.447.730,00","-43.549.822,90"
06/12/2019,"64.592.748,30","-279.190,00","-40.407.135,00","-72.400,00","6.522.388,50"
06/11/2019,"94.228.428,30","-3.144.810,00","-73.793.080,50","417.030,00","-6.412.135,50"
06/10/2019,"33.511.259,30","-8.402.054,00","-114.095.416,95","-528.620,00","2.094.713,80"
06/07/2019,"99.096.928,70","6.019.484,00","4.015.174,00","-3.676.150,00","-145.483.067,40"
06/06/2019,"65.566.216,60","-5.872.152,00","-86.209.181,84","-4.296.440,00","-145.061.319,70"
06/05/2019,"11.390.884,10","-2.500.000,00","-36.086.000,00","924.290,00","32.505.073,60"
06/04/2019,"-134.490.956,20","-18.985.000,00","-344.761.000,00","1.413.060,00","74.779.932,80"
06/03/2019,"-78.049.223,30","149.183,00","11.855.358,75","2.791.680,00","94.220.205,70"
05/31/2019,"76.867.710,80","158.204,00","-1.324.131,94","3.420.500,00","99.026.462,40"
05/30/2019,"159.970.236,90","-4.444.000,00","-120.973.900,00","-3.248.060,00","-80.104.694,40"
05/29/2019,"-69.990.112,50","338.650,00","8.088.310,00","1.052.520,00","75.820.745,00"
05/28/2019,"-2.974.866,90","-6.829.594,00","-156.145.517,96","-2.115.980,00","-121.723.539,20"
05/27/2019,"-46.710.683,70","2.100.000,00","-12.689.215,00","-724.760,00","12.443.500,50"
05/24/2019,"182.765.479,90","-1.006.980,00","-15.682.082,00","-8.645.530,00","-296.516.273,90"
05/23/2019,"38.427.943,70","-1.965.003,00","-6.212.401,70","-4.175.670,00","-92.264.169,20"
05/22/2019,"103.243.023,00","-2.373.770,00","-2.634.660,00","-4.376.350,00","-150.254.205,00"
05/21/2019,"175.540.543,00","-49.773.238,00","-5.777.793.355,00","-5.288.040,00","-195.648.139,00"
05/20/2019,"145.783.657,00","245.003,00","5.839.794,00","-4.082.030,00","-51.390.496,00"
05/17/2019,"40.190.459,00","-947.680,00","-15.237.747,00","-327.250,00","-33.080.211,00"
05/16/2019,"87.523.296,00","17.976.580,00","293.217.444,00","-2.938.880,00","-85.345.528,00"
05/15/2019,"31.799.131,50","18.340.170,00","300.445.492,40","-7.781.900,00","-196.476.898,80"
05/14/2019,"62.499.079,00","1.532.680,00","25.806.832,00","-7.697.330,00","-147.728.742,00"
05/13/2019,"60.780.929,00","465.600,00","7.921.400,00","-5.686.800,00","-172.817.050,00"
05/10/2019,"106.672.533,00","-3.900.000,00","-22.514.100,00","-4.078.430,00","-124.704.779,00"
05/09/2019,"80.492.142,00","-1.760.000,00","-25.960.500,00","-3.423.990,00","-99.469.351,00"
05/08/2019,"86.554.621,00","3.055.000,00","22.776.500,00","-1.491.480,00","-57.221.484,00"
05/07/2019,"-42.002.054,00","-1.438.940,00","-76.703.774,00","-3.777.340,00","-93.383.859,00"
05/06/2019,"-53.028.414,00","1.103.595,00","21.658.013,00","1.269.080,00","35.409.664,00"
05/03/2019,"32.198.010,00","-743.220,00","-12.321.920,00","736.470,00","21.659.004,00"
05/02/2019,"9.562.746,00","0,00","0,00","-2.049.370,00","-18.860.701,00"
04/26/2019,"-33.266.404,00","0,00","0,00","-1.227.220,00","-63.464.820,00"
04/25/2019,"-41.773.241,00","-1.649.430,00","-18.629.938,00","-1.795.820,00","-34.613.435,00"
04/24/2019,"-33.878.918,00","285.000,00","-16.028.250,00","1.970.410,00","88.436.827,00"
04/23/2019,"-13.724.620,00","-7.071.440,00","-81.116.118,00","-1.916.660,00","-57.954.322,00"
04/22/2019,"39.085.365,00","-800.000,00","-28.150.000,00","-821.090,00","20.428.232,00"
04/19/2019,"19.927.836,00","-155.000,00","-2.108.525,00","-200.810,00","-12.635.198,00"
04/18/2019,"-10.179.772,00","4.065.000,00","32.520.000,00","794.250,00","92.496.454,00"
