Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
08/06/2024,79.745.441,"2.380.012.541,30",62.672.606,"1.870.850.897,88",17.072.835,"509.161.643,42"
08/05/2024,83.523.028,"2.565.160.713,22",83.496.623,"2.412.012.871,45",26.405,"153.147.841,77"
08/02/2024,73.196.127,"1.900.108.567,47",65.528.912,"2.037.054.432,47",7.667.215,"-136.945.865,00"
08/01/2024,84.007.460,"2.517.486.436,30",46.752.361,"1.432.427.094,67",37.255.099,"1.085.059.341,63"
07/31/2024,40.487.260,"1.176.700.553,15",41.991.398,"1.310.793.990,80",-1.504.138,"-134.093.437,65"
07/30/2024,29.968.501,"851.962.441,34",25.078.162,"708.207.455,14",4.890.339,"143.754.986,20"
07/29/2024,26.832.959,"787.128.573,35",30.075.410,"797.074.594,91",-3.242.451,"-9.946.021,56"
07/26/2024,21.844.684,"695.512.893,75",30.511.894,"1.033.061.807,45",-8.667.210,"-337.548.913,70"
07/25/2024,32.490.776,"865.861.836,25",38.703.937,"947.361.984,88",-6.213.161,"-81.500.148,63"
07/24/2024,57.723.060,"1.918.690.907,45",40.825.827,"1.062.199.965,80",16.897.233,"856.490.941,65"
07/23/2024,52.973.760,"1.729.913.745,82",34.209.987,"969.606.070,67",18.763.773,"760.307.675,15"
07/22/2024,63.116.459,"2.002.836.121,15",34.537.453,"1.130.829.066,10",28.579.006,"872.007.055,05"
07/19/2024,34.770.009,"1.029.499.030,30",45.808.559,"1.352.866.876,42",-11.038.550,"-323.367.846,12"
07/18/2024,44.327.442,"1.428.514.386,80",99.896.373,"3.093.321.273,62",-55.568.931,"-1.664.806.886,82"
07/17/2024,59.962.503,"1.720.381.563,08",87.628.190,"2.429.279.920,45",-27.665.687,"-708.898.357,37"
07/16/2024,36.696.696,"1.148.125.954,08",35.840.492,"1.113.481.194,33",856.204,"34.644.759,75"
07/15/2024,64.773.591,"2.015.551.888,80",36.711.476,"1.171.484.174,63",28.062.115,"844.067.714,17"
07/12/2024,35.715.906,"1.108.113.257,70",36.501.433,"1.107.530.693,83",-785.527,"582.563,87"
07/11/2024,42.971.956,"1.433.707.028,80",71.732.529,"1.965.623.081,24",-28.760.573,"-531.916.052,44"
07/10/2024,50.162.097,"1.773.382.997,86",61.919.514,"1.714.221.276,91",-11.757.417,"59.161.720,95"
07/09/2024,55.052.141,"1.859.503.910,39",63.230.579,"1.847.251.611,51",-8.178.438,"12.252.298,88"
